state,population_1940,population_1910
Alabama,2832961,2138093
Arizona,499261,204354
Arkansas,1949387,1574449
California,6907387,2377549
Colorado,1123296,799024
Connecticut,1709242,1114756
Delaware,266505,202322
Florida,1897414,752619
Georgia,3123723,2609121
Idaho,524873,325594
Illinois,7897241,5638591
Indiana,3427796,2700876
Iowa,2538268,2224771
Kansas,1801028,1690949
Kentucky,2845627,2289905
Louisiana,2363880,1656388
Maine,847226,742371
Maryland,1821244,1295346
Massachusetts,4316721,3366416
Michigan,5256106,2810173
Minnesota,2792300,2075708
Mississippi,2183796,1797114
Missouri,3784664,3293335
Montana,559456,376053
Nebraska,1315834,1192214
Nevada,110247,81875
New Hampshire,491524,430572
New Jersey,4160165,2537167
New Mexico,531818,327301
New York,13479142,9113614
North Carolina,3571623,2206287
North Dakota,641935,577056
Ohio,6907612,4767121
Oklahoma,2336434,1657155
Oregon,1089684,672765
Pennsylvania,9900180,7665111
Rhode Island,713346,542610
South Carolina,1899804,1515400
South Dakota,642961,583888
Tennessee,2915841,2184789
Texas,6414824,3896542
Utah,550310,373351
Vermont,359231,355956
Virginia,2677773,2061612
Washington,1736191,1141990
West Virginia,1901974,1221119
Wisconsin,3137587,2333860
Wyoming,250742,145965
